t=2026-08-24T10:45:50+0530 lvl=info msg="no configuration paths supplied"
t=2026-08-24T10:45:50+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\pved2\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-08-24T10:45:50+0530 lvl=info msg="open config file" path=C:\\Users\\pved2\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-08-24T10:45:50+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-08-24T10:45:50+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-08-24T10:45:50+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-24T10:45:50+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-08-24T10:45:50+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5173 url=https://colony-suggest-overprice.ngrok-free.dev
t=2026-08-24T10:46:08+0530 lvl=info msg=start pg=/api/tunnels id=16452933da8aeab8
t=2026-08-24T10:46:08+0530 lvl=info msg=end pg=/api/tunnels id=16452933da8aeab8 status=200 dur=0s
t=2026-08-24T10:46:15+0530 lvl=info msg=start pg=/api/tunnels id=049000b6aa2c22b2
t=2026-08-24T10:46:15+0530 lvl=info msg=end pg=/api/tunnels id=049000b6aa2c22b2 status=200 dur=0s
t=2026-08-24T10:48:15+0530 lvl=info msg="join connections" obj=join id=c40789730d41 l=[::1]:5173 r=103.240.76.65:50595
t=2026-08-24T10:48:15+0530 lvl=info msg="join connections" obj=join id=0668fa35149c l=[::1]:5173 r=103.240.76.65:51267
t=2026-08-24T10:48:32+0530 lvl=info msg="join connections" obj=join id=20c80dfb9a36 l=[::1]:5173 r=103.240.76.65:51431
t=2026-08-24T10:48:33+0530 lvl=info msg="join connections" obj=join id=a5e5d76eefca l=[::1]:5173 r=103.240.76.65:51397
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=25a614ab3ab4 l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55827
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=c3bb9f2f1295 l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55827
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=6b7bdc8ad45e l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55827
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=7e5fceb33226 l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55827
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=f85071c39bcc l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55827
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=5a348342ae3b l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55829
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=e680fb380fe8 l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55830
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=6be477ef2bb2 l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55830
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=5b4d2bed04c6 l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55830
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=dda21bda4f12 l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55830
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=c4010e373134 l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55827
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=350170fb46b5 l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55827
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=ec439bf3c3e8 l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55827
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=4e21a3fe387f l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55827
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=772694b055dc l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55827
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=e5910f343d68 l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55827
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=5a6aed41491a l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55827
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=97a38ee3c954 l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55827
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=17d45cf44dbc l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55827
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=f713d6d20606 l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55827
t=2026-08-24T10:53:03+0530 lvl=info msg="join connections" obj=join id=e8033f4d79cb l=[::1]:5173 r=[2402:a00:173:2a96:7571:cdba:7679:252]:55827
